hl_a.wav, 16.549995, 16.238270, 18.293468
hl_e.wav, 15.028727, 23.461786, -172.086809
hl_i.wav, 17.475500, 15.145027, 15.454677
hl_o.wav, 18.410925, 15.020294, 14.424888
hl_u.wav, 18.328295, 15.058025, 14.626661
ll_a.wav, 17.764059, 15.667215, 16.095489
ll_e.wav, 16.533512, 24.797873, -316.226703
ll_i.wav, 15.691913, 23.885290, -265.025799
ll_o.wav, 16.910427, 25.558422, -197.511146
ll_u.wav, 19.640799, 27.293396, 562.883194
ml_a.wav, 17.053841, 17.975061, 24.185667
ml_e.wav, 15.898303, 22.974976, 276.315246
ml_i.wav, 15.170173, 16.194063, 20.279694
ml_o.wav, 19.016975, 18.162046, 19.771443
ml_u.wav, 19.292986, 19.153244, 22.104413
